epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9382,1.07386,2.00629,1.35078,0.49082,0.54409,0.52026,0.36823,1.23453,10.5377,1.53539,0.0675305,0.000394366,0.000394366
2,29.8059,1.13613,1.36333,1.4172,0.50662,0.56357,0.48295,0.30229,1.32702,5.1657,1.80108,0.0345893,0.000786502,0.000786502
3,43.3807,1.25068,1.45776,1.5038,0.43303,0.49024,0.46411,0.32169,1.04772,7.17574,1.35486,0.0016402,0.00117072,0.00117072
4,56.7768,1.19714,1.32671,1.47222,0.59427,0.65997,0.66159,0.43943,1.13871,2.27052,1.47409,0.00116436,0.00116436,0.00116436
5,70.4399,1.09069,1.19529,1.39536,0.7766,0.6921,0.74706,0.56276,1.04969,1.45974,1.35967,0.00115248,0.00115248,0.00115248
6,84.1964,1.02448,1.07241,1.3336,0.84817,0.71128,0.80672,0.61332,0.95229,1.33337,1.26883,0.0011406,0.0011406,0.0011406
7,97.837,0.99798,1.05036,1.30558,0.7978,0.65916,0.75027,0.56603,1.05946,1.22997,1.34394,0.00112872,0.00112872,0.00112872
8,111.191,0.9858,0.99879,1.31789,0.80733,0.8037,0.84186,0.65671,0.88005,0.99347,1.15592,0.00111684,0.00111684,0.00111684
9,124.843,0.9403,0.99317,1.26695,0.90916,0.76992,0.84614,0.66468,0.88117,0.96535,1.19206,0.00110496,0.00110496,0.00110496
10,138.484,0.90964,0.96851,1.25628,0.89901,0.72424,0.8121,0.63982,0.93817,1.20509,1.2305,0.00109308,0.00109308,0.00109308
11,151.817,0.87589,0.903,1.22603,0.88811,0.82863,0.88722,0.73099,0.8022,0.82367,1.15161,0.0010812,0.0010812,0.0010812
12,165.497,0.85992,0.86481,1.20957,0.93942,0.74106,0.86199,0.68993,0.89173,0.88561,1.16782,0.00106932,0.00106932,0.00106932
13,178.866,0.8429,0.83634,1.2018,0.90592,0.84684,0.90739,0.74332,0.7613,0.74574,1.11059,0.00105744,0.00105744,0.00105744
14,192.432,0.84292,0.83213,1.20269,0.859,0.67439,0.75631,0.61518,0.86081,1.52078,1.15208,0.00104556,0.00104556,0.00104556
15,205.824,0.79922,0.77414,1.17692,0.92245,0.81246,0.88216,0.72882,0.76353,0.71156,1.09681,0.00103368,0.00103368,0.00103368
16,221.777,0.78932,0.7598,1.1558,0.96479,0.81797,0.90451,0.74891,0.69172,0.67603,1.05152,0.0010218,0.0010218,0.0010218
17,235.524,0.7637,0.73874,1.14832,0.9508,0.82923,0.90364,0.75619,0.70147,0.67033,1.04272,0.00100992,0.00100992,0.00100992
18,249.161,0.76636,0.73333,1.14482,0.92619,0.83218,0.90055,0.74868,0.67967,0.68761,1.04689,0.00099804,0.00099804,0.00099804
19,262.573,0.76623,0.74783,1.153,0.92812,0.81229,0.88623,0.722,0.71147,0.68689,1.06901,0.00098616,0.00098616,0.00098616
20,276.018,0.75008,0.73568,1.13872,0.91292,0.83386,0.90041,0.75482,0.69745,0.70834,1.07673,0.00097428,0.00097428,0.00097428
21,289.448,0.71587,0.6844,1.11512,0.97167,0.80564,0.88764,0.76028,0.62842,0.71737,1.0101,0.0009624,0.0009624,0.0009624
22,303.062,0.72156,0.69009,1.11066,0.93318,0.89207,0.92822,0.79325,0.63383,0.62954,0.98782,0.00095052,0.00095052,0.00095052
23,316.747,0.7275,0.66506,1.11223,0.93071,0.8666,0.91311,0.7834,0.63543,0.63136,1.00334,0.00093864,0.00093864,0.00093864
24,330.177,0.72754,0.69054,1.11141,0.97123,0.85069,0.92022,0.79123,0.64569,0.62929,1.0109,0.00092676,0.00092676,0.00092676
25,346.843,0.69125,0.65106,1.09919,0.93936,0.86991,0.91911,0.76892,0.67785,0.62269,1.03748,0.00091488,0.00091488,0.00091488
26,360.284,0.69345,0.65007,1.09672,0.90194,0.85926,0.92481,0.78106,0.65773,0.62398,1.01099,0.000903,0.000903,0.000903
27,373.714,0.68881,0.61559,1.09182,0.95027,0.8726,0.92804,0.79165,0.64695,0.56579,1.00587,0.00089112,0.00089112,0.00089112
28,387.028,0.67954,0.62331,1.07851,0.97063,0.86143,0.93448,0.79633,0.61941,0.55575,1.00833,0.00087924,0.00087924,0.00087924
29,400.601,0.65637,0.61123,1.07623,0.96642,0.8478,0.91669,0.78231,0.63294,0.63507,1.00976,0.00086736,0.00086736,0.00086736
30,414.291,0.64882,0.6047,1.06211,0.8982,0.78301,0.83222,0.71361,0.72751,0.91977,1.11396,0.00085548,0.00085548,0.00085548
31,427.613,0.64158,0.61334,1.07251,0.95223,0.84863,0.9169,0.80592,0.57569,0.61844,0.97741,0.0008436,0.0008436,0.0008436
32,444.739,0.64719,0.61013,1.07811,0.93035,0.84926,0.9113,0.80138,0.55941,0.63325,0.95866,0.00083172,0.00083172,0.00083172
33,458.157,0.6208,0.57974,1.04586,0.94421,0.89961,0.93551,0.81665,0.57351,0.54208,0.96579,0.00081984,0.00081984,0.00081984
34,471.829,0.65251,0.56911,1.06952,0.95271,0.87713,0.92579,0.80061,0.59051,0.55751,0.97431,0.00080796,0.00080796,0.00080796
35,485.195,0.62544,0.56127,1.04924,0.92886,0.89598,0.94134,0.82934,0.5512,0.53184,0.95544,0.00079608,0.00079608,0.00079608
36,498.867,0.61503,0.55346,1.04553,0.95523,0.88054,0.93862,0.80474,0.59643,0.5547,0.96951,0.0007842,0.0007842,0.0007842
37,512.425,0.60245,0.53716,1.02782,0.94934,0.88104,0.93636,0.818,0.54179,0.51915,0.94381,0.00077232,0.00077232,0.00077232
38,525.815,0.59493,0.54867,1.02985,0.95688,0.8739,0.93073,0.82124,0.55522,0.50459,0.9427,0.00076044,0.00076044,0.00076044
39,539.317,0.59621,0.53396,1.02807,0.97275,0.84852,0.92296,0.78926,0.58295,0.60911,0.96216,0.00074856,0.00074856,0.00074856
40,552.584,0.56246,0.51123,1.00649,0.95496,0.88812,0.93693,0.82286,0.54423,0.51522,0.94228,0.00073668,0.00073668,0.00073668
41,568.258,0.5769,0.50388,1.02124,0.97985,0.85922,0.93259,0.84046,0.49013,0.49729,0.9278,0.0007248,0.0007248,0.0007248
42,581.948,0.56842,0.51427,1.00905,0.96796,0.87165,0.92862,0.83599,0.5095,0.53733,0.91804,0.00071292,0.00071292,0.00071292
43,595.569,0.57447,0.51053,1.02061,0.96628,0.88769,0.93403,0.83813,0.51917,0.5256,0.94026,0.00070104,0.00070104,0.00070104
44,608.953,0.57455,0.50517,1.0147,0.97283,0.82098,0.90742,0.79355,0.55291,0.61527,0.96785,0.00068916,0.00068916,0.00068916
45,622.195,0.58188,0.52596,1.01848,0.95672,0.89854,0.9391,0.83551,0.54471,0.53497,0.93988,0.00067728,0.00067728,0.00067728
46,635.576,0.55446,0.48122,1.00132,0.96687,0.87504,0.94432,0.8479,0.51335,0.53836,0.93583,0.0006654,0.0006654,0.0006654
47,650.403,0.54304,0.48593,1.01026,0.94571,0.89077,0.93307,0.82128,0.54413,0.52552,0.9495,0.00065352,0.00065352,0.00065352
48,663.764,0.54638,0.48432,1.0011,0.95883,0.87384,0.93184,0.83297,0.5173,0.55921,0.93715,0.00064164,0.00064164,0.00064164
49,677.13,0.53177,0.46701,0.99403,0.96804,0.88413,0.9418,0.84074,0.50785,0.51141,0.92195,0.00062976,0.00062976,0.00062976
50,690.446,0.55411,0.48344,1.01084,0.94656,0.89902,0.93848,0.84351,0.49214,0.4667,0.91201,0.00061788,0.00061788,0.00061788
51,703.845,0.5485,0.47593,0.9947,0.98648,0.88283,0.93708,0.83209,0.51896,0.51941,0.93199,0.000606,0.000606,0.000606
52,717.259,0.53151,0.4558,1.00035,0.97579,0.88711,0.93652,0.84285,0.50646,0.53204,0.92581,0.00059412,0.00059412,0.00059412
53,731.144,0.50449,0.43877,0.97557,0.9616,0.89487,0.94275,0.85932,0.4633,0.46566,0.90518,0.00058224,0.00058224,0.00058224
54,744.841,0.52719,0.45439,0.99486,0.97292,0.91207,0.93932,0.84964,0.4957,0.51229,0.91803,0.00057036,0.00057036,0.00057036
55,758.137,0.51898,0.47293,0.98532,0.96908,0.88233,0.93707,0.85383,0.47444,0.48236,0.8993,0.00055848,0.00055848,0.00055848
56,771.477,0.5248,0.45378,0.98669,0.99042,0.88769,0.94218,0.84191,0.50906,0.4745,0.92617,0.0005466,0.0005466,0.0005466
57,784.82,0.50121,0.41666,0.97104,0.96614,0.90347,0.94029,0.84272,0.50957,0.49342,0.92781,0.00053472,0.00053472,0.00053472
58,798.248,0.49245,0.41442,0.96845,0.97585,0.88236,0.94013,0.84554,0.49202,0.46628,0.92535,0.00052284,0.00052284,0.00052284
59,811.621,0.48988,0.41679,0.97603,0.96993,0.89656,0.93895,0.84095,0.49874,0.47881,0.92784,0.00051096,0.00051096,0.00051096
60,824.932,0.5001,0.42643,0.97229,0.97768,0.87439,0.94542,0.85334,0.50615,0.46467,0.91369,0.00049908,0.00049908,0.00049908
61,838.266,0.4748,0.40393,0.95619,0.96357,0.89669,0.94237,0.86095,0.44987,0.41548,0.89309,0.0004872,0.0004872,0.0004872
62,852.045,0.49157,0.41359,0.97166,0.97836,0.88269,0.95107,0.86033,0.44896,0.40717,0.9079,0.00047532,0.00047532,0.00047532
63,865.868,0.47157,0.40651,0.95334,0.96659,0.8764,0.9433,0.86575,0.41508,0.43313,0.87186,0.00046344,0.00046344,0.00046344
64,879.709,0.46504,0.38831,0.95277,0.96347,0.8926,0.93298,0.87091,0.42015,0.45331,0.87593,0.00045156,0.00045156,0.00045156
65,893.705,0.47958,0.42859,0.9674,0.96565,0.88769,0.94358,0.86054,0.45711,0.43149,0.89119,0.00043968,0.00043968,0.00043968
66,907.118,0.45862,0.39294,0.94881,0.97386,0.87773,0.94252,0.86365,0.42936,0.44778,0.87607,0.0004278,0.0004278,0.0004278
67,920.449,0.45102,0.39748,0.93539,0.96688,0.89236,0.94469,0.86932,0.41445,0.41906,0.87148,0.00041592,0.00041592,0.00041592
68,933.899,0.46516,0.40289,0.95604,0.97134,0.88946,0.94972,0.87043,0.43693,0.42329,0.87283,0.00040404,0.00040404,0.00040404
69,948.916,0.46365,0.4005,0.95486,0.95772,0.89057,0.94318,0.86179,0.43007,0.39771,0.87987,0.00039216,0.00039216,0.00039216
70,962.319,0.45651,0.38558,0.94659,0.97303,0.89936,0.94444,0.86067,0.43582,0.41001,0.8798,0.00038028,0.00038028,0.00038028
71,978.015,0.45234,0.39659,0.94318,0.95771,0.91326,0.94527,0.85911,0.43142,0.39165,0.8803,0.0003684,0.0003684,0.0003684
72,991.488,0.43657,0.36165,0.9446,0.96922,0.89076,0.94613,0.87157,0.42735,0.40693,0.87605,0.00035652,0.00035652,0.00035652
73,1007.68,0.47039,0.3909,0.9566,0.97769,0.91087,0.94869,0.86679,0.4401,0.41279,0.88523,0.00034464,0.00034464,0.00034464
74,1021.52,0.44188,0.36646,0.93671,0.98104,0.90523,0.94864,0.87526,0.41,0.39835,0.87079,0.00033276,0.00033276,0.00033276
75,1035.65,0.42774,0.34763,0.92784,0.97563,0.89708,0.946,0.86964,0.41976,0.3832,0.8748,0.00032088,0.00032088,0.00032088
76,1049.07,0.43758,0.36481,0.94303,0.95082,0.92717,0.94491,0.87532,0.40677,0.40376,0.86203,0.000309,0.000309,0.000309
77,1063.31,0.42475,0.36116,0.93337,0.97364,0.91435,0.94365,0.87621,0.40687,0.38651,0.87829,0.00029712,0.00029712,0.00029712
78,1078.29,0.42695,0.34767,0.94368,0.9662,0.90767,0.94469,0.87229,0.42892,0.40637,0.88925,0.00028524,0.00028524,0.00028524
79,1091.56,0.42829,0.36104,0.93694,0.95661,0.91391,0.95007,0.87832,0.42356,0.41036,0.88681,0.00027336,0.00027336,0.00027336
80,1105.22,0.40985,0.35502,0.92195,0.95948,0.91949,0.94676,0.87875,0.41846,0.40155,0.8747,0.00026148,0.00026148,0.00026148
81,1119.31,0.40802,0.34336,0.92675,0.9689,0.91523,0.94699,0.87941,0.37479,0.37882,0.86172,0.0002496,0.0002496,0.0002496
82,1133,0.4041,0.33481,0.93045,0.96559,0.91502,0.95121,0.8936,0.3863,0.37102,0.85938,0.00023772,0.00023772,0.00023772
83,1146.96,0.38763,0.32693,0.90372,0.95758,0.92354,0.95108,0.88393,0.38798,0.34776,0.86343,0.00022584,0.00022584,0.00022584
84,1160.41,0.41381,0.34296,0.93044,0.96328,0.90519,0.94563,0.87755,0.40418,0.3935,0.87197,0.00021396,0.00021396,0.00021396
85,1177.07,0.40532,0.33627,0.92265,0.962,0.91388,0.95296,0.87903,0.39544,0.37436,0.86578,0.00020208,0.00020208,0.00020208
86,1190.54,0.41388,0.34867,0.93137,0.96786,0.91427,0.95216,0.88627,0.39074,0.38573,0.8639,0.0001902,0.0001902,0.0001902
87,1203.96,0.39994,0.33735,0.90999,0.98058,0.91529,0.95576,0.88735,0.39398,0.37165,0.86543,0.00017832,0.00017832,0.00017832
88,1217.89,0.38979,0.32345,0.91142,0.99367,0.9065,0.95556,0.89583,0.38453,0.37992,0.85803,0.00016644,0.00016644,0.00016644
89,1231.6,0.39191,0.31696,0.92109,0.96676,0.92595,0.95437,0.89391,0.38774,0.37884,0.8557,0.00015456,0.00015456,0.00015456
90,1244.97,0.39344,0.33589,0.91122,0.96037,0.92615,0.95488,0.89804,0.3791,0.37703,0.85709,0.00014268,0.00014268,0.00014268
91,1259.83,0.28151,0.22446,0.83104,0.96853,0.92227,0.9534,0.8926,0.37923,0.37705,0.85456,0.0001308,0.0001308,0.0001308
92,1273.16,0.27372,0.2118,0.83402,0.9495,0.92518,0.95203,0.89825,0.38546,0.37294,0.85682,0.00011892,0.00011892,0.00011892
93,1286.49,0.28276,0.21577,0.83417,0.97459,0.91548,0.95892,0.89706,0.37993,0.35937,0.85384,0.00010704,0.00010704,0.00010704
94,1299.78,0.26651,0.20736,0.82185,0.97346,0.91164,0.95914,0.90591,0.37523,0.35843,0.85412,9.516e-05,9.516e-05,9.516e-05
95,1313.45,0.26824,0.20563,0.82787,0.97336,0.91432,0.95648,0.90437,0.38067,0.39861,0.85725,8.328e-05,8.328e-05,8.328e-05
96,1327.07,0.26072,0.19888,0.82585,0.97345,0.91177,0.95552,0.90311,0.37334,0.36408,0.85706,7.14e-05,7.14e-05,7.14e-05
